id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0546,Methi Parantha,1 Parantha - 60 g,4.3,0.0,22.5,5.1,0.0,4.0,73.0,14.24,153.0,NR
food_0547,Baati / bati,1 Baati - 30 g,1.8,0.0,9.0,5.0,0.0,1.6,67.0,6.1,94.0,NR
food_0548,Baked beans,100 g,6.0,0.0,22.0,5.0,0.0,6.0,57.0,9.12,155.0,NR
food_0549,"Pizza slice (Medium, thick crust)",70 g,7.7,0.0,28.0,4.9,0.0,1.3,80.0,24.3,186.0,NR
food_0550,Chips,10 chips - 12 g,1.0,0.0,6.7,4.8,0.0,0.6,54.0,3.0,74.0,NR
food_0551,"Pizza slice (Medium, thin crust)",50 g,6.0,0.0,16.6,4.7,0.0,0.8,80.0,13.28,132.0,NR
food_0552,Choorma / churma,1 tablespoon - 14 g,0.9,0.0,5.4,4.7,0.0,0.7,78.0,3.67,68.0,NR
food_0553,Naan,1 Piece - approx 50 g,3.7,0.0,22.9,4.6,0.0,1.3,85.0,18.0,149.0,NR
food_0554,Aloo Tikki /Alu Tikki,1 tikki,0.7,0.0,10.2,4.6,0.0,0.8,77.0,7.0,84.0,NR
food_0555,Matthi / Mathiya,1 Piece - 25 g,1.5,0.0,11.1,4.5,0.0,1.8,84.0,7.5,90.0,NR
food_0556,Aloo Beans - Sabzi,1 katori - 100 g,1.8,0.0,12.0,4.3,0.0,2.6,62.0,5.8,93.0,NR
food_0557,Plain Parantha,1 Parantha - 50 g,4.2,0.0,23.9,4.2,0.0,3.7,77.0,15.0,140.0,NR
food_0558,Bhel Puri,1 Katori - 45 g,2.4,0.0,11.4,4.2,0.0,1.3,61.0,6.1,92.0,NR
food_0559,Noodles,1 bowl / katori - approx 100 g,3.4,0.0,21.4,4.1,0.0,1.2,85.0,17.0,136.0,NR
food_0560,Ghee (spoon) - with carbs,1 teaspoon - 4 g,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,36.0,NR
food_0561,Dark Chocolate 75%,10 g,0.8,0.0,3.7,4.0,0.0,1.1,2.3,0.8,57.0,NR
food_0562,Dalia - Sweet,1 katori - 130 g,3.0,0.0,22.0,3.8,0.0,2.6,69.0,15.18,146.0,NR
food_0563,Dark Chocolate 55%,10 g,0.6,0.0,5.73,3.37,0.0,0.0,40.0,3.0379,55.7,NR
food_0564,Biscuit,1 piece - 10 g,0.5,0.0,3.9,3.1,0.0,0.1,73.0,4.2,45.0,NR
food_0565,Namkeen/farsan/mixture,1 teaspoon - approx 7g,0.9,0.0,3.2,2.7,0.0,0.1,56.0,2.0,39.0,NR
food_0566,Samak rice / Barnyard Millet,Cooked 1 katori - 124 g,2.2,0.0,18.4,2.6,0.0,2.5,52.0,8.26,105.0,NR
food_0567,Dhokla,1 Dhokla - approx 35 g,2.4,0.0,5.6,2.4,0.0,1.0,35.0,2.0,54.0,NR
food_0568,Sweet corn,1 cup - approx 145 g,4.8,0.0,27.1,2.0,0.0,2.9,52.0,13.0,125.0,NR
food_0569,Chicken Momo,1 piece - 38g,3.5,0.0,12.8,2.0,0.0,0.6,58.0,6.0,88.0,NR
food_0570,Milk Chocolate,10 g,0.76,0.0,5.6,1.84,0.0,0.0,51.0,2.856,52.8,NR
food_0571,Golgappe / Pani puri,1 piece,0.5,0.0,4.0,1.8,0.0,0.3,70.0,3.0,35.0,NR
food_0572,Pasta,1 cup - approx 140 g,8.0,0.0,41.0,1.7,0.0,2.5,48.0,19.1,221.0,NR
food_0573,Gajak / layee / lai / maroonda,1 medium piece - 16 g,0.6,0.0,9.6,1.6,0.0,0.6,82.0,7.2,54.0,NR
food_0574,Poha / Flattened RIce / Chura,Raw 1 katori - 100 g,2.6,0.0,26.9,1.5,0.0,1.1,75.0,20.0,130.0,NR
food_0575,Namak Para / Pare,1 para - 5 g,0.3,0.0,2.3,1.3,0.0,0.1,84.0,1.76,22.0,NR
food_0576,Toffee,1 Piece - 7g,0.3,0.0,4.8,1.3,0.0,0.0,51.0,2.5,31.9,NR
food_0577,Candy,1 Piece - 7g,0.0,0.0,7.0,1.3,0.0,0.0,65.0,4.55,31.9,NR
food_0578,Pop Corn - Plain,25 g,2.0,0.0,11.3,1.3,0.0,2.5,55.0,6.2,123.3,NR
food_0579,Veg momo,1 piece - 36g,1.3,0.0,8.5,1.1,0.0,1.1,62.0,5.0,49.0,NR
food_0580,Rusk,1 Piece - 10 g,0.7,0.0,5.0,1.1,0.0,0.3,70.0,4.0,33.0,NR
